"cells","samples","cell.types","treatment.group","Cohort","no.of.genes","no.of.reads"
"cy78_CD45_neg_1_B04_S496_comb","Mel78","Mal","post.treatment","Tirosh",8258,357919
"cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb","Mel79","Mal","treatment.naive","Tirosh",2047,5727
"CY88_5_B10_S694_comb","Mel88","Mal","post.treatment","Tirosh",5375,139218
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb","Mel79","Mal","treatment.naive","Tirosh",5648,73996
"cy78_CD45_neg_3_H06_S762_comb","Mel78","Mal","post.treatment","Tirosh",7409,380341
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb","Mel79","Mal","treatment.naive","Tirosh",6988,92485
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb","Mel79","Mal","treatment.naive","Tirosh",5195,63696
"CY88_3_D02_S614_comb","Mel88","Mal","post.treatment","Tirosh",7345,494895
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb","Mel79","Mal","treatment.naive","Tirosh",4847,60074
"cy53_1_CD45_neg_C06_S318_comb","Mel53","Mal","treatment.naive","Tirosh",4467,97098
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb","Mel79","Mal","treatment.naive","Tirosh",3968,37095
"Cy71_CD45_D08_S524_comb","Mel71","Mal","treatment.naive","Tirosh",4660,143878
"Cy81_FNA_CD45_B01_S301_comb","Mel81","Mal","treatment.naive","Tirosh",6387,195829
"CY88_5_B06_S690_comb","Mel88","Mal","post.treatment","Tirosh",6987,387883
"cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb","Mel79","Mal","treatment.naive","Tirosh",5197,590351
"Cy80_II_CD45_B07_S883_comb","Mel80","Mal","treatment.naive","Tirosh",5913,103997
"cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb","Mel79","Mal","treatment.naive","Tirosh",4855,128141
"Cy81_Bulk_CD45_B10_S118_comb","Mel81","Mal","treatment.naive","Tirosh",8366,561231
"cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb","Mel79","Mal","treatment.naive","Tirosh",2394,10669
"CY88_3_F01_S637_comb","Mel88","Mal","post.treatment","Tirosh",6010,254178
"CY88_3_C01_S601_comb","Mel88","Mal","post.treatment","Tirosh",6332,402959
"CY89NEG_E07_S55_comb","Mel89","Mal","treatment.naive","Tirosh",7752,561966
"CY89CORE11_G02_S170_comb","Mel89","Mal","treatment.naive","Tirosh",6591,408607
"cy78_CD45_neg_1_D07_S523_comb","Mel78","Mal","post.treatment","Tirosh",8548,394632
"cy78_CD45_neg_3_D01_S709_comb","Mel78","Mal","post.treatment","Tirosh",8472,425938
"cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb","Mel79","Mal","treatment.naive","Tirosh",6065,176919
"Cy71_CD45_B05_S497_comb","Mel71","Mal","treatment.naive","Tirosh",4721,23926
"Cy80_II_CD45_C09_S897_comb","Mel80","Mal","treatment.naive","Tirosh",6021,310389
"cy81_FNA_CD45_neg_D04_S1000_comb","Mel81","Mal","treatment.naive","Tirosh",9551,227393
"cy82_CD45_pos_2_H12_S576_comb","Mel82","Macrophage","treatment.naive","Tirosh",4431,12102
"cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb","Mel79","Mal","treatment.naive","Tirosh",6717,441424
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb","Mel79","Mal","treatment.naive","Tirosh",4758,33564
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb","Mel79","Mal","treatment.naive","Tirosh",2862,63175
"cy80_CD45_neg_G01_S937_comb","Mel80","Mal","treatment.naive","Tirosh",7453,154339
"cy78_CD45_neg_2_B08_S596_comb","Mel78","Mal","post.treatment","Tirosh",6475,70466
"cy78_CD45_neg_1_E02_S530_comb","Mel78","Mal","post.treatment","Tirosh",7690,369174
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb","Mel79","Mal","treatment.naive","Tirosh",5376,73999
"CY89CORE11_A11_S107_comb","Mel89","Mal","treatment.naive","Tirosh",6825,464978
"cy78_CD45_neg_3_B02_S686_comb","Mel78","Mal","post.treatment","Tirosh",7586,315886
"cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb","Mel79","Mal","treatment.naive","Tirosh",3715,63501
"cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb","Mel79","Mal","treatment.naive","Tirosh",4702,112991
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb","Mel79","Mal","treatment.naive","Tirosh",5901,112405
"cy81_Bulk_CD45_neg_A10_S106_comb","Mel81","Mal","treatment.naive","Tirosh",5266,54399
"cy53_1_CD45_neg_E04_S340_comb","Mel53","Mal","treatment.naive","Tirosh",4653,44271
"cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb","Mel79","Mal","treatment.naive","Tirosh",4608,82513
"cy78_CD45_neg_3_D04_S712_comb","Mel78","Mal","post.treatment","Tirosh",7933,627292
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb","Mel79","Mal","treatment.naive","Tirosh",6014,115465
"cy81_FNA_CD45_neg_B01_S973_comb","Mel81","Mal","treatment.naive","Tirosh",6667,186354
"Cy81_FNA_CD45_E05_S341_comb","Mel81","Mal","treatment.naive","Tirosh",7719,145124
"cy78_CD45_neg_3_E02_S722_comb","Mel78","Mal","post.treatment","Tirosh",7418,440587
"cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb","Mel79","Mal","treatment.naive","Tirosh",8336,64660
"cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb","Mel79","Mal","treatment.naive","Tirosh",4068,23215
"cy78_CD45_neg_3_D10_S718_comb","Mel78","Mal","post.treatment","Tirosh",3602,22809
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb","Mel79","Mal","treatment.naive","Tirosh",6932,70246
"cy78_CD45_neg_1_G05_S557_comb","Mel78","Mal","post.treatment","Tirosh",8934,610041
"CY88_5_C12_S708_comb","Mel88","Mal","post.treatment","Tirosh",6563,211840
"cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb","Mel79","Mal","treatment.naive","Tirosh",5283,74642
"Cy81_Bulk_CD45_E10_S154_comb","Mel81","Mal","treatment.naive","Tirosh",7468,320723
