cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
cy04.3_CD45pos_S35,Mel04.3,T.CD8,post.treatment,New,5796,288722,5675,12981.156215902567
CY89A_CD45_POS_6_F03_S159_comb,Mel89,Macrophage,treatment.naive,Tirosh,3406,111052,3183,9080.866198977796
cy102_CD45pos_S190,Mel102,T.CD4,post.treatment,New,5052,498828,4894,11125.874680386954
CY75_1_CD45_CD8_7__S264_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,2254,17198,2172,9288.39504115564
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_D02_S422_comb,Mel79,T.CD8,treatment.naive,Tirosh,2861,33520,2715,9569.031366957799
cy129PB_CD45pos_S280,Mel129pb,T.CD8,treatment.naive,New,3249,275878,3065,8152.578260664122
cy126_CD45pos_2_S175,Mel126,T.CD8,post.treatment,New,3787,509907,3599,8307.729035706569
cy80_Cd45_pos_Pd1_neg_S252_C12_S252_comb,Mel80,B.cell,treatment.naive,Tirosh,4242,107473,4009,10820.80401905793
CY75_1_CD45_CD8_8__S323_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3497,192160,3314,8718.078847402972
merck_cd45pos_PL3_S315,Mel194,T.CD8,post.treatment,New,4131,310823,3928,9266.015643976767
merck_cd45pos_PL3_S312,Mel194,T.CD8,post.treatment,New,4834,1085726,4689,8946.326081322237
Cy72_CD45_F06_S738_comb,Mel72,?,post.treatment,Tirosh,3780,121104,3560,9043.230946242962
cy129PA_CD45pos_S22,Mel129pa,T.CD8,treatment.naive,New,3658,457350,3472,6608.3802862956745
cy121.1_CD45pos_S344,Mel121.1,T.CD4,post.treatment,New,4693,400398,4526,9297.255621553631
CY88CD45_150813_E11_S347_comb,Mel88,T.CD4,post.treatment,Tirosh,3761,204904,3536,8600.59813360016
CY75_1_CD45_CD8_7__S220_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4619,255290,4433,11285.759352904162
CY89FNA_H07_S283_comb,Mel89,?,treatment.naive,Tirosh,2671,46701,2527,8164.389809331016
CY58_1_CD45_B01_S973_comb,Mel58,T.cell,post.treatment,Tirosh,3149,114935,2930,7340.363400342294
cy58_1_CD45_pos_B05_S593_comb,Mel58,T.cell,post.treatment,Tirosh,2999,33823,2796,9176.13114633154
cy53_1_CD45_pos_1_B01_S13_comb,Mel53,NK,treatment.naive,Tirosh,4412,166958,4163,10727.466119442295
MGH00478_CD45pos_1_S277,Mel478,B.cell,treatment.naive,New,4337,721996,4152,7903.234589180642
cy80_Cd45_pos_Pd1_neg_S293_E05_S293_comb,Mel80,NK,treatment.naive,Tirosh,6021,149275,5819,15411.618386295488
cy112_CD45pos_S1,Mel112,B.cell,treatment.naive,New,5983,3315657,5873,10450.69561763285
cy126_CD45pos_1_S70,Mel126,?,post.treatment,New,2374,638257,2181,5235.887132140326
cy129PA_CD45pos_S91,Mel129pa,T.CD8,treatment.naive,New,4072,556833,3864,9195.31990767282
cy94_cd45pos_4_C06_S30_comb,Mel94,B.cell,post.treatment,Tirosh,4148,141039,3926,11149.065808864527
cy129PA_CD45pos_S36,Mel129pa,T.CD4,treatment.naive,New,3921,502566,3725,7068.753276427951
cy84_Met_CD45_pos_H05_S953_comb,Mel84,B.cell,treatment.naive,Tirosh,2397,60684,2225,7752.398283802343
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H08_S572_comb,Mel79,T.CD8,treatment.naive,Tirosh,3507,63564,3269,9615.455434078602
cy126_CD45pos_2_S155,Mel126,T.CD4,post.treatment,New,3798,328217,3619,6758.452947234572
cy80_CD45_pos_PD1_pos_H12_S192_comb,Mel80,T.cell,treatment.naive,Tirosh,8208,62425,8063,18171.769139682812
cy94_cd45pos_4_G02_S74_comb,Mel94,B.cell,post.treatment,Tirosh,6196,451654,6025,12395.316002714379
cy129PB_CD45pos_S202,Mel129pb,Macrophage,treatment.naive,New,5854,1516785,5709,11251.697404073699
cy94_cd45pos_F05_S161_comb,Mel94,B.cell,post.treatment,Tirosh,4502,222904,4303,10368.981138596886
CY88CD45_150813_G06_S366_comb,Mel88,Macrophage,post.treatment,Tirosh,6333,690531,6161,12071.706662254212
cy79_p4_CD45_pos_PD1_pos_G02_S362_comb,Mel79,T.CD8,treatment.naive,Tirosh,4091,270618,3872,8906.105857262382
cy80_CD45_pos_PD1_pos_G12_S180_comb,Mel80,T.CD4,treatment.naive,Tirosh,4078,99341,3867,11104.51067152786
cy80_CD45_neg_D03_S423_comb,Mel80,T.cell,treatment.naive,Tirosh,4558,206106,4343,11515.305845622008
cy94_cd45pos_4_G07_S79_comb,Mel94,T.CD4,post.treatment,Tirosh,4241,170708,4029,10062.642367943401
